word,normalized_word,category
dog,dog,Animals
cat,cat,Animals
lion,lion,Animals
tiger,tiger,Animals
elephant,elephant,Animals
giraffe,giraffe,Animals
zebra,zebra,Animals
monkey,monkey,Animals
bear,bear,Animals
wolf,wolf,Animals
fox,fox,Animals
rabbit,rabbit,Animals
deer,deer,Animals
horse,horse,Animals
cow,cow,Animals
pig,pig,Animals
sheep,sheep,Animals
goat,goat,Animals
chicken,chicken,Animals
duck,duck,Animals
eagle,eagle,Animals
owl,owl,Animals
sparrow,sparrow,Animals
penguin,penguin,Animals
dolphin,dolphin,Animals
whale,whale,Animals
shark,shark,Animals
octopus,octopus,Animals
crab,crab,Animals
lobster,lobster,Animals
snake,snake,Animals
lizard,lizard,Animals
turtle,turtle,Animals
frog,frog,Animals
butterfly,butterfly,Animals
bee,bee,Animals
ant,ant,Animals
spider,spider,Animals
mouse,mouse,Animals
squirrel,squirrel,Animals
kangaroo,kangaroo,Animals
koala,koala,Animals
panda,panda,Animals
cheetah,cheetah,Animals
rhinoceros,rhinoceros,Animals
hippopotamus,hippopotamus,Animals
camel,camel,Animals
llama,llama,Animals
otter,otter,Animals
beaver,beaver,Animals
hedgehog,hedgehog,Animals
raccoon,raccoon,Animals
skunk,skunk,Animals
bat,bat,Animals
falcon,falcon,Animals
parrot,parrot,Animals
flamingo,flamingo,Animals
peacock,peacock,Animals
swan,swan,Animals
crocodile,crocodile,Animals
alligator,alligator,Animals
seal,seal,Animals
walrus,walrus,Animals
jellyfish,jellyfish,Animals
starfish,starfish,Animals
snail,snail,Animals
worm,worm,Animals
scorpion,scorpion,Animals
mountain,mountain,Nature
river,river,Nature
forest,forest,Nature
desert,desert,Nature
valley,valley,Nature
waterfall,waterfall,Nature
volcano,volcano,Nature
glacier,glacier,Nature
canyon,canyon,Nature
island,island,Nature
lake,lake,Nature
cave,cave,Nature
cliff,cliff,Nature
meadow,meadow,Nature
jungle,jungle,Nature
swamp,swamp,Nature
coral,coral,Nature
reef,reef,Nature
dune,dune,Nature
hill,hill,Nature
stream,stream,Nature
pond,pond,Nature
cavern,cavern,Nature
prairie,prairie,Nature
tundra,tundra,Nature
oasis,oasis,Nature
peninsula,peninsula,Nature
bay,bay,Nature
delta,delta,Nature
plateau,plateau,Nature
ridge,ridge,Nature
grove,grove,Nature
thicket,thicket,Nature
marsh,marsh,Nature
geyser,geyser,Nature
lagoon,lagoon,Nature
crater,crater,Nature
fjord,fjord,Nature
wetland,wetland,Nature
savanna,savanna,Nature
rainforest,rainforest,Nature
boulder,boulder,Nature
pebble,pebble,Nature
soil,soil,Nature
bedrock,bedrock,Nature
bread,bread,Food
cheese,cheese,Food
